and [ənd]	и
Ann [æn]	Энн, Анна
apple ['æpl]	яблоко
Ben [ben]	Бен
Helen ['helən]	Хелен, Елена
lamp [læmp]	лампа
let [let]	позволять, допускать
make [meɪk]	делать, составлять
map [mæp]	карта (географическая)
me [mi:]	меня, мне
pen [pen]	перо, ручка
plan [plæn]	план
table ['teɪbl]	стол; таблица
take [teɪk]	брать, взять
tell [tel]	сказать
them [ðem]	им; их
all [ɔ:l]	все, всё
bag [bæg]	портфель; мешок
black [blæk]	черный
book [bʊk]	книга
box [bɒks]	ящик, коробка
child [ʧaɪld] (мн. ч. children ['ʧɪldrən])	дитя, ребенок
five [faɪv]	пять
friend [frend]	друг
geology [ʤɪ'ɒləʤi]	геология
give [ɡɪv]	давать
good [ɡʊd]	хороший
his [hɪz]	его
in [ɪn]	в
man [mæn] (мн. ч. men [men])	человек, мужчина
maths [mæθs] = mathematics [,mæθɪ'mætɪks]	математика
my [maɪ]	мой
Nick [nɪk]	Ник (мужское имя)
note [nəʊt]	заметка, запись
notebook ['nəʊtbʊk]	тетрадь, записная книжка
on [ɒn]	на
open ['əʊpən]	открывать
pencil ['pensl]	карандаш
put [pʊt]	класть, положить
see [si:]	видеть
study ['stʌdɪ]	yчить(cя), изучать
well [wel]	хорошо
woman ['wʊmən] (мн. ч. women ['wɪmɪn])	женщина
at [æt], [ət]	в, на (на вопрос где?)
because [bɪ'kɔ:z]	потому что
bottom ['bɒtəm]	низ
east [i:st]	восток
find [famd]	находить
geography [ʤɪ'ɒgrəfɪ]	география
know [nəʊ]	знать
large [lɑ:ʤ]	большой
left [left]	левый, налево;
on the left	слева
look (at) [lʊk]	смотреть (на)
mean [mi:n]	означать, значить
north [nɔ:θ]	север
our ['aʊə]	наш
Peter ['pi:tə]	Питep (мужское имя)
pole [pəʊl]	полюс
read [ri:d]	читать
right [raɪt]	правый; право;
on the right	справа
sea [si:]	мope
side [said]	cтopoнa
south [saʊθ]	юг
text [tekst]	текст
top [tɒp]	вepx
west [west]	запад
white [waɪt]	белый
word [wɜ:d]	слово
write [rаɪt]	писать
your [jɔ:]	ваш, твой
this [ðɪs]	этот, эта, это
these [ði:z]	эти
that [ðæt]	тот, та, то
those [ðəʊz]	те
Atlantic Ocean [ət,læntɪk 'əʊʃən]	Атлантический океан
big [bɪɡ]	большой
both [bəʊθ]	оба
bridge [brɪʤ]	мост
building [bɪldɪŋ]	здание
call [kɔ:l]	называть; звать
city ['sɪtɪ]	город
clock [klɒk]	часы (настольные, стенные, башенные)
connect [kə'nekt]	соединять
curved [kɜ:vd]	изогнутый
end [end]	конец
England ['ɪŋɡlənd]	Англия
Europe ['jʊərəp]	Европа
front [frʌnt]	перед; передняя сторона; фасад; фронт;
in front of	перед, впереди
hand [hænd]	рука
hospital [hɒspɪtl]	больница
hour ['аʊə]	час
house [hаʊs]	1. дом; 2. палата (парламента)
left-hand [,left'hænd]	левый
letter ['letə]	буква; письмо
listen ['lɪsn]	слушать
live [lɪv]	жить
London ['lʌndən]	Лондон
million ['mɪljən]	миллион
near [nɪə]	близко, близ
nearly ['məlɪ]	почти
night [nаɪt]	ночь
ocean ['əʊʃən]	океан
other [ʌðə]	другой
parliament ['pɑ:ləmənt]	парламент
part [pɑ:t]	часть
person ['pɜ:sn]	лицо, человек
right-hand [,rаɪt'hænd]	правый
river ['rɪvə]	река
square [skweə]	а квадратный
strike [strаɪk]	бить (о часах)
Thames [temz]	Темза
tower ['tаʊə]	башня
very [verɪ]	очень
Westminster Abbey [,westmɪnstər 'æbɪ]	Вестминстерское аббатство
wide [wаɪd]	широкий
with [wɪð]	с
air [eə]	воздух
almost ['ɔ:lməʊst]	почти (не расстояние)
any ['еnɪ]	любой
by [baɪ]	предлог, соответствующий творительному падежу;
by railway	поездом
come [kʌm]	приходить, приезжать
dock [dɒk]	док
docker ['dɒkə]	докер
Dover ['dəʊvə]	Дувр
each [i:ʧ]	каждый
English ['ɪŋɡlɪʃ]	английский
fly [flaɪ]	летать
for [fɔ:]	для
from [frɒm]	от, из
gate [ɡeɪt]	ворота
go [ɡəʊ]	уходить; идти; уезжать; направляться
into ['ɪntə]	в (нa вопросы «куда?, во что?»)
kind [kаɪnd]	род; сорт; класс
line [laɪn]	линия
look [lʊk]	смотреть
many ['menɪ]	многие
mouth [maʊθ]	рот; устье (реки)
only ['əʊnlɪ]	только
or [ɔ:]	или
place [pleɪs]	место
railway ['reɪlweɪ]	железная дорога
Russian ['rʌʃən]	русский
ship [ʃɪp]	судно, корабль
small [smɔ:l]	маленький
special ['speʃəl]	особый, специальный
there [ðeə]	там, туда
translate [træns'leɪt]	переводить
then [ðen]	затем
up [ʌp]	вверх
want [wɒnt]	хотеть, желать
when [wen]	когда
which [wɪʧ]	который
work [wɜ:k]	работа; работать
worker ['wɜ:kə]	рабочий; работник
world [wɜ:ld]	мир, свет
along [ə'lɒŋ]	вдоль, по
also ['ɔ:lsəʊ]	также
as [æz]	как;когда, в то время как;
beautiful ['bju:tɪfl]	красивый, прекрасный
best	самый лучший
capital ['kæpɪtl]	столица
church [ʧɜ:ʧ]	церковь
cinema ['sɪnɪmə]	кинотеатр
country ['kʌntrɪ]	страна
do [du:]	делать
every ['evrɪ]	каждый
famous ['feɪməs]	знаменитый
foreign ['fɒrɪn]	иностранный
former ['fɔ:mə]	прежний, бывший
Great Britain [,ɡreɪt 'brɪtn]	Великобритания
hear [hɪə]	слышать
hill [hɪl]	холм, возвышенность; гора
home [həʊm]	(родной) дом; родина; зд. резиденция
hundred ['hʌndrɪd]	сто, сотня
Kremlin ['kremlɪn]	Кремль
list [lɪst]	список, перечень
main [maɪn]	главный, основной
model ['mɒdəl]	модель
Moscow ['mɒskəʊ]	Москва
most [məʊst]	большая часть
museum [mju:'zi:əm]	музей
new [nju:]	новый
now [naʊ]	теперь, сейчас
often ['ɒfn]	часто
old [əʊld]	старый;
oldest ['əʊldɪst]	самый старый
palace ['pæləs]	дворец
park [pɑ:k]	парк
people ['pi:pl]	народ, люди
pop star ['pɒp stɑ:]	поп-звезда
prime minister ['praɪm,mɪnɪstə]	премьер-министр
prison ['prɪzn]	тюрьма
the Queen [kwi:n]	королева
radio ['reɪdɪəʊ]	радио
royal ['rɔɪəl]	королевский
Russia ['rʌʃə]	Россия
shop [ʃɒp]	магазин
shopping centre ['ʃɒpɪŋ sentə]	торговый центр
sightseeing ['saɪt,si:ɪŋ]	осмотр достопримечательностей
street [stri:t]	улица
theatre ['θɪətə]	театр
thing [θɪŋ]	вещь, предмет
thousand ['θaʊzənd]	тысяча
through [θru:]	prep сквозь, через; adv насквозь
today [tə'deɪ]	сегодня; в наше время
tourist ['tʊərɪst]	турист
twenty ['twentɪ]	двадцать
visit [vɪzɪt]	посещать; посещение, визит
visitor ['vɪzɪtə]	посетитель, гость
walk [wɔ:k]	ходить пешком, гулять
wax [wæks]	воск
animal ['ænɪməl] n	животное
autumn ['ɔ:təm] n	осень
back [bæk] adv	обратно
begin [bɪ'ɡɪn] v	нaчинaть(cя)
bird [bɜ:d] n	птица
brown [braun] а	коричневый
but [bʌt] cj	но
cold [kəʊld] а	холодный
cool [ku:l] а	прохладный
crop [krɒp] n	сельскохозяйственная культура; урожай
different ['dɪfrənt] а	различный
fall [fɔ:l] v	падать
fall off	опадать, отпадать
flower ['flaʊə] n	цветок
green [ɡri:n] а	зеленый
grow [ɡrəʊ] v	расти, растить; выращивать; становиться
keep [ki:p] v	дepжaть(cя); хранить, оставаться, сохраняться; вести
leaf [li:f] n	(мч. ч. leaves [li:vz]) лист (дерева)
mile [maɪl] n	миля
month [mʌnθ] n	месяц
off [ɒf] adv, prep	прочь (более подробно см. урок 13)
rain [reɪn] п	дождь
red [red] а	красный
season ['si:zn] n	время года; сезон
snow [snəʊ] n	снег
some [sʌm] pron	некоторый
sometimes ['sʌmtaɪmz] adv	иногда
spring [sprɪŋ] n	весна
storm [stɔ:m] n	буря, шторм
summer ['sʌmə] n	лето
too [tu:] adv	слишком; также
tree [tri:] n	дерево
usually ['ju:ʤʊəlɪ] adv	обычно
vegetable ['veʤ(ɪ)təbl] n	овощ; а растительный
warm [wɔ:m] а	теплый
water [wɔ:tə] n	вода
weather ['weðə] n	погода
wind [wɪnd] n	ветер
winter ['wɪntə] n	зима
yellow ['jeləʊ] а	желтый
adjective ['æʤɪktɪv]	прилагательное
adverb ['ædvɜ:b]	наречие
conjunction [kən'ʤʌŋkʃn]	союз
noun [naʊn]	существительное
numeral ['nju:mərəl]	числительное
pronoun ['prəʊnaʊn]	местоимение
preposition [,prepə'zɪʃn]	пpeдлoг
verb [vɜ:b]	глагол
who? [hu:]	кто?
where? [weə]	где?
whom? [hu:m]	кого?
when? [wen]	когда?
whose? [hu:z]	чей?
why? [waɪ]	почему?
what? [wɒt]	что? какой?
how? [hau]	как?
which? [wɪʧ]	который?
how many?	сколько?
how much?	сколько?
answer ['ɑ:nsə] v	отвечать; n ответ
ask [ɑ:sk] v	спросить
boy [bɔɪ] n	мальчик
buy [baɪ] v	купить
central ['sentrəl] а	центральный
culture ['kʌlʧə] n	культура
dance [dɑ:ns] v	танцевать; n танец
day [deɪ] n	день
dress [dres] n	платье; oдeждa; v oдeвaть(cя)
eat [i:t] v	есть, съедать
fine [faɪn] а	прекрасный; изящный; тонкий
girl [gɜ:l] n	девочка, девушка
ground [graʊnd] n	земля, грунт
here [hɪə] adv	здесь, тут
like [laɪk] v	любить, нравиться
little ['lɪtl] а	маленький
